record_number,region,residence_type,family_composition,sex,age,marital_status,student,country_of_birth,health,ethnic_group,religion,economic_activity,occupation,industry,hours_worked_per_week,approximate_social_grade
41731,S92000003,C,X,2,8,5,2,1,4,1,2,5,X,X,X,X
41782,S92000003,P,4,1,2,1,1,1,1,1,2,4,X,X,X,4
41798,S92000003,P,1,2,2,1,2,1,1,1,2,3,X,X,X,3
41866,S92000003,P,4,1,2,1,2,1,1,1,1,3,X,X,X,4
41874,S92000003,P,0,1,2,1,2,1,2,1,1,3,X,X,X,4
41890,S92000003,P,4,2,4,1,2,1,2,1,2,3,X,X,X,4
41905,S92000003,P,5,2,5,1,2,1,5,1,9,5,X,X,X,4
42116,S92000003,P,1,1,2,1,2,2,1,1,9,3,X,X,X,1
42121,S92000003,P,1,2,3,2,2,2,1,3,4,3,X,X,X,1
42168,S92000003,P,5,2,5,2,2,2,3,3,7,3,X,X,X,2
42441,S92000003,C,X,2,8,5,2,1,2,1,9,5,X,X,X,X
42931,S92000003,P,1,2,2,1,1,1,2,1,2,4,X,X,X,2
42949,S92000003,P,2,1,2,1,1,1,1,1,1,4,X,X,X,2
43064,S92000003,P,1,1,7,2,2,1,2,1,2,5,X,X,X,4
43097,S92000003,C,X,2,7,1,2,1,5,1,2,5,X,X,X,X
43146,S92000003,P,4,2,3,4,2,1,2,1,2,3,X,X,X,4
43173,S92000003,P,2,1,2,1,1,1,1,1,1,4,X,X,X,1
43199,S92000003,P,2,2,2,1,2,1,1,1,2,3,X,X,X,2
43205,S92000003,C,X,2,8,5,2,1,3,1,9,5,X,X,X,X
43235,S92000003,P,0,2,7,5,2,2,5,3,6,5,X,X,X,2
43450,S92000003,C,X,2,8,1,2,1,2,1,2,5,X,X,X,X
43531,S92000003,P,0,2,6,4,2,1,3,1,2,5,X,X,X,4
43610,S92000003,P,4,2,8,5,2,1,2,1,2,5,X,X,X,4
43618,S92000003,P,2,1,4,1,2,1,1,1,2,3,X,X,X,4
43649,S92000003,P,0,2,8,5,2,1,3,1,2,5,X,X,X,4
43664,S92000003,P,4,1,2,1,2,1,1,1,9,3,X,X,X,4
43791,S92000003,P,1,2,6,2,2,2,3,3,6,5,X,X,X,2
43854,S92000003,P,2,1,2,1,1,1,1,1,1,4,X,X,X,2
43920,S92000003,P,0,1,2,1,2,2,1,1,1,3,X,X,X,4
44072,S92000003,P,1,2,6,2,2,1,2,1,1,5,X,X,X,1
44109,S92000003,P,2,2,2,1,2,1,1,1,1,3,X,X,X,1
44132,S92000003,P,4,1,2,1,2,1,1,1,1,3,X,X,X,4
44203,S92000003,P,4,1,2,1,2,1,2,1,9,3,X,X,X,1
44237,S92000003,P,0,1,2,1,1,1,1,1,1,4,X,X,X,1
44260,S92000003,P,0,1,4,1,2,1,3,1,2,3,X,X,X,4
44277,S92000003,P,4,2,2,1,1,1,1,1,1,4,X,X,X,3
44329,S92000003,P,1,1,2,1,1,1,1,1,2,4,X,X,X,1
44474,S92000003,P,0,2,8,4,2,1,2,1,2,5,X,X,X,4
44509,S92000003,P,0,2,2,1,2,1,1,1,1,3,X,X,X,4
44511,S92000003,P,4,2,2,1,1,1,2,1,2,4,X,X,X,2
44624,S92000003,P,1,2,7,2,2,2,1,1,2,5,X,X,X,1
44625,S92000003,P,1,2,7,2,2,1,3,1,2,5,X,X,X,2
44806,S92000003,P,3,1,2,1,2,1,1,1,1,3,X,X,X,4
45039,S92000003,P,5,1,3,1,2,1,2,1,1,3,X,X,X,4
45117,S92000003,P,4,1,2,1,2,1,1,1,2,3,X,X,X,2
45126,S92000003,P,1,2,2,1,2,1,2,1,2,3,X,X,X,4
45302,S92000003,P,1,1,2,1,2,1,1,1,2,3,X,X,X,3
45309,S92000003,P,1,2,7,2,2,1,3,1,1,5,X,X,X,4
45354,S92000003,P,0,1,8,5,2,1,3,1,9,5,X,X,X,4
45409,S92000003,P,4,2,2,1,2,1,1,1,9,3,X,X,X,3
45510,S92000003,P,1,2,8,2,2,1,4,1,2,5,X,X,X,4
45550,S92000003,P,4,2,2,1,1,1,1,1,9,4,X,X,X,4
45608,S92000003,P,1,2,2,1,1,1,2,1,1,4,X,X,X,3
45737,S92000003,P,4,1,5,1,2,1,5,1,2,3,X,X,X,4
45746,S92000003,P,4,1,2,1,2,1,2,1,1,3,X,X,X,2
45781,S92000003,P,1,1,2,1,1,1,1,1,1,4,X,X,X,3
45835,S92000003,P,1,1,2,1,2,1,1,1,1,3,X,X,X,1
45999,S92000003,P,0,2,8,5,2,2,2,1,1,5,X,X,X,4
46004,S92000003,P,0,2,7,4,2,1,3,1,1,5,X,X,X,4
46021,S92000003,P,0,2,8,5,2,2,4,3,7,5,X,X,X,1
46094,S92000003,C,X,2,2,1,1,2,1,3,1,4,X,X,X,X
46116,S92000003,C,X,2,8,5,2,1,4,1,9,5,X,X,X,X
46225,S92000003,P,0,2,8,1,2,1,3,1,2,5,X,X,X,4
46443,S92000003,C,X,2,8,5,2,1,2,1,9,5,X,X,X,X
46495,S92000003,C,X,2,8,5,2,1,3,1,2,5,X,X,X,X
46549,S92000003,P,0,2,8,5,2,1,3,1,1,5,X,X,X,4
46598,S92000003,P,4,1,2,1,2,1,1,1,2,3,X,X,X,2
46681,S92000003,P,1,2,7,2,2,1,2,1,2,5,X,X,X,2
46799,S92000003,P,4,1,2,1,1,1,1,1,1,4,X,X,X,2
46820,S92000003,P,0,2,7,5,2,1,1,1,2,5,X,X,X,4
46825,S92000003,P,0,2,8,5,2,1,2,1,2,5,X,X,X,4
46838,S92000003,P,1,2,2,1,2,1,1,1,1,3,X,X,X,4
46881,S92000003,P,1,1,2,1,1,1,1,1,1,4,X,X,X,2
46935,S92000003,P,1,1,3,1,2,1,2,1,1,3,X,X,X,3
46937,S92000003,P,0,2,8,5,2,1,3,1,2,5,X,X,X,4
46942,S92000003,P,0,2,2,1,2,1,2,1,1,3,X,X,X,4
46946,S92000003,P,0,2,8,5,2,1,2,1,2,5,X,X,X,4
47067,S92000003,P,0,2,8,5,2,1,3,1,2,5,X,X,X,4
47097,S92000003,P,0,1,3,1,2,1,2,1,1,3,X,X,X,4
47213,S92000003,P,4,1,2,5,2,1,2,1,2,3,X,X,X,4
47249,S92000003,P,0,1,2,1,2,1,2,1,2,3,X,X,X,4
47252,S92000003,P,4,2,4,1,2,1,4,1,1,3,X,X,X,4
47322,S92000003,P,0,1,4,1,2,1,1,1,2,3,X,X,X,3
47368,S92000003,P,0,2,6,5,2,1,1,1,2,3,X,X,X,4
47381,S92000003,P,4,1,2,1,2,1,1,1,2,3,X,X,X,4
47395,S92000003,P,4,1,2,1,2,1,1,1,2,3,X,X,X,4
47435,S92000003,P,4,2,2,1,2,1,1,1,1,3,X,X,X,4
47513,S92000003,P,1,1,7,2,2,1,3,1,2,5,X,X,X,4
47517,S92000003,P,0,1,7,5,2,1,3,1,1,5,X,X,X,4
47731,S92000003,P,1,1,2,1,1,1,2,1,2,4,X,X,X,2
48010,S92000003,P,5,2,8,1,2,1,1,1,2,5,X,X,X,4
48077,S92000003,P,1,1,2,1,1,1,1,1,9,4,X,X,X,3
48242,S92000003,P,4,2,7,4,2,1,1,1,1,5,X,X,X,4
48264,S92000003,P,5,2,2,1,1,2,1,4,2,4,X,X,X,2
48424,S92000003,P,1,2,2,1,1,1,1,1,1,4,X,X,X,2
48627,S92000003,P,0,1,8,1,2,1,3,1,2,5,X,X,X,4
48655,S92000003,P,4,2,2,1,1,1,1,1,2,4,X,X,X,4
48671,S92000003,P,1,2,7,2,2,1,3,1,2,5,X,X,X,4
48854,S92000003,P,1,1,2,1,1,1,1,1,9,4,X,X,X,3
48913,S92000003,P,2,1,2,1,1,1,1,1,1,4,X,X,X,4
49029,S92000003,P,1,1,7,2,2,2,1,3,7,5,X,X,X,4
49056,S92000003,P,0,1,4,1,2,1,2,1,1,3,X,X,X,4
49131,S92000003,P,1,2,2,1,1,1,1,1,1,4,X,X,X,2
49327,S92000003,P,4,1,2,1,2,1,2,1,2,3,X,X,X,4
49426,S92000003,P,1,2,2,1,1,1,1,1,2,4,X,X,X,2
49595,S92000003,C,X,2,2,1,1,1,1,1,1,4,X,X,X,X
49649,S92000003,P,0,2,7,2,2,1,5,1,2,5,X,X,X,4
49762,S92000003,P,3,1,2,1,1,2,2,1,9,4,X,X,X,2
49863,S92000003,P,1,2,5,2,2,2,1,4,6,3,X,X,X,2
49922,S92000003,P,0,2,8,5,2,1,2,1,1,5,X,X,X,4
50068,S92000003,P,4,2,2,1,2,1,1,1,1,3,X,X,X,4
50191,S92000003,P,2,2,7,5,2,1,2,1,1,5,X,X,X,4
50395,S92000003,P,4,1,2,1,1,1,2,1,1,4,X,X,X,2
50450,S92000003,P,4,1,2,1,2,1,2,1,2,3,X,X,X,4
50495,S92000003,C,X,2,8,5,2,1,3,1,1,5,X,X,X,X
50563,S92000003,P,0,2,8,5,2,2,3,1,2,5,X,X,X,4
50578,S92000003,P,4,2,4,1,2,1,1,1,2,3,X,X,X,4
50584,S92000003,P,4,1,2,1,2,1,2,1,1,3,X,X,X,4
50695,S92000003,P,0,2,3,3,2,1,1,1,2,3,X,X,X,4
50715,S92000003,P,1,1,2,1,2,2,1,1,9,3,X,X,X,3
50990,S92000003,P,3,1,2,1,2,1,2,1,2,3,X,X,X,3
51168,S92000003,P,4,1,2,1,2,1,2,1,1,3,X,X,X,4
51241,S92000003,C,X,1,7,1,2,1,2,1,2,5,X,X,X,X
51248,S92000003,P,1,2,2,1,2,1,1,1,1,3,X,X,X,2
51250,S92000003,P,1,2,6,2,2,1,3,1,2,5,X,X,X,4
51281,S92000003,C,X,1,8,1,2,1,3,1,2,5,X,X,X,X
51294,S92000003,P,1,1,2,1,2,1,1,1,2,3,X,X,X,1
51386,S92000003,C,X,2,2,1,1,1,1,1,2,4,X,X,X,X
51399,S92000003,C,X,2,2,1,1,1,1,1,2,4,X,X,X,X
51451,S92000003,P,0,1,4,1,2,1,3,1,1,3,X,X,X,4
51491,S92000003,P,1,2,4,2,2,2,1,3,6,3,X,X,X,1
51700,S92000003,P,1,1,6,2,2,2,3,1,2,3,X,X,X,4
51814,S92000003,P,0,2,8,5,2,1,3,1,1,5,X,X,X,4
51822,S92000003,P,4,1,2,1,2,1,1,1,1,3,X,X,X,4
51902,S92000003,P,1,2,7,2,2,1,5,1,2,5,X,X,X,4
51988,S92000003,P,1,2,6,2,2,1,1,1,2,5,X,X,X,4
52353,S92000003,P,1,2,3,2,2,1,1,1,9,3,X,X,X,4
52519,S92000003,P,0,2,7,5,2,1,2,1,9,5,X,X,X,4
52576,S92000003,P,1,1,2,1,2,1,1,1,9,3,X,X,X,2
52592,S92000003,P,4,1,2,1,2,1,1,1,2,3,X,X,X,4
52613,S92000003,P,0,2,8,5,2,1,3,1,2,5,X,X,X,4
52728,S92000003,P,1,2,2,1,2,1,3,1,1,3,X,X,X,4
52767,S92000003,P,0,2,8,5,2,1,5,1,2,5,X,X,X,4
52865,S92000003,P,1,2,2,1,1,1,1,1,2,4,X,X,X,1
52908,S92000003,P,1,1,2,1,2,1,1,1,2,3,X,X,X,4
52938,S92000003,P,4,2,2,1,1,1,1,1,1,4,X,X,X,2
52992,S92000003,P,1,1,2,1,2,1,1,1,9,3,X,X,X,3
53114,S92000003,C,X,2,2,1,2,1,2,1,1,3,X,X,X,X
53212,S92000003,P,1,1,3,1,2,1,3,1,1,3,X,X,X,2
53231,S92000003,P,0,2,8,5,2,1,4,1,9,5,X,X,X,4
53303,S92000003,C,X,2,8,5,2,1,5,1,2,5,X,X,X,X
53380,S92000003,P,4,2,2,1,2,1,1,1,1,3,X,X,X,3
53398,S92000003,P,1,1,2,1,2,1,1,1,2,3,X,X,X,3
53543,S92000003,P,0,1,6,5,2,1,3,1,9,3,X,X,X,4
53716,S92000003,C,X,2,8,5,2,1,3,1,2,5,X,X,X,X
53944,S92000003,P,4,2,2,1,1,1,1,1,2,4,X,X,X,4
54090,S92000003,P,1,2,2,1,2,1,1,1,1,3,X,X,X,4
54307,S92000003,C,X,1,7,1,2,1,3,1,9,5,X,X,X,X
54343,S92000003,P,1,2,6,2,2,1,2,1,1,5,X,X,X,3
54485,S92000003,P,5,1,6,1,2,1,3,1,2,5,X,X,X,4
54502,S92000003,P,4,1,2,1,2,1,2,1,1,3,X,X,X,4
54825,S92000003,P,1,2,2,1,2,1,1,1,2,3,X,X,X,1
54879,S92000003,C,X,2,8,1,2,1,3,1,2,5,X,X,X,X
54963,S92000003,P,2,1,2,1,2,1,2,1,2,3,X,X,X,2
54970,S92000003,P,4,1,2,1,1,1,2,1,2,4,X,X,X,4
55071,S92000003,P,0,1,7,5,2,1,3,1,2,5,X,X,X,4
55088,S92000003,C,X,1,8,5,2,1,3,1,9,5,X,X,X,X
55093,S92000003,P,0,1,2,1,1,2,2,3,9,4,X,X,X,2
55106,S92000003,P,5,1,2,1,1,2,2,6,6,4,X,X,X,2
55111,S92000003,P,4,1,2,1,1,2,1,4,2,4,X,X,X,2
55557,S92000003,P,0,1,8,4,2,1,3,1,2,5,X,X,X,4
55688,S92000003,P,1,1,2,1,1,1,2,1,1,4,X,X,X,1
55703,S92000003,P,0,2,8,5,2,1,4,1,2,5,X,X,X,4
55814,S92000003,P,1,1,2,1,2,1,1,1,2,3,X,X,X,2
55820,S92000003,P,4,2,2,1,2,1,1,1,2,3,X,X,X,4
55834,S92000003,P,4,2,2,1,2,1,1,1,1,3,X,X,X,4
55943,S92000003,P,4,2,8,5,2,1,3,1,9,5,X,X,X,3
55962,S92000003,C,X,2,8,2,2,1,4,1,2,5,X,X,X,X
56049,S92000003,C,X,2,8,5,2,1,2,1,2,5,X,X,X,X
56057,S92000003,P,4,2,7,5,2,1,1,1,2,5,X,X,X,4
56184,S92000003,P,1,2,8,2,2,1,2,1,2,5,X,X,X,4
56232,S92000003,P,1,2,6,2,2,1,3,1,2,5,X,X,X,4
56238,S92000003,P,2,2,2,1,2,1,1,1,2,3,X,X,X,2
56278,S92000003,P,1,2,5,2,2,1,1,1,2,3,X,X,X,4
56292,S92000003,P,1,1,2,1,2,1,1,1,1,3,X,X,X,1
56328,S92000003,P,4,2,2,1,2,1,2,1,1,3,X,X,X,4
56338,S92000003,P,1,2,8,2,2,1,4,1,1,5,X,X,X,4
56376,S92000003,P,2,1,4,3,2,1,3,1,1,3,X,X,X,4
56718,S92000003,P,3,1,2,1,1,2,1,6,6,4,X,X,X,4
56758,S92000003,P,1,2,8,2,2,2,3,3,1,5,X,X,X,4
56803,S92000003,P,1,2,6,2,2,2,4,3,6,5,X,X,X,4
56817,S92000003,P,1,2,5,2,2,2,3,3,3,3,X,X,X,4
56969,S92000003,P,1,2,4,2,2,1,2,1,1,3,X,X,X,3
57057,S92000003,P,0,1,2,1,2,2,1,1,2,3,X,X,X,4
57094,S92000003,P,0,2,2,1,1,2,2,1,1,4,X,X,X,2
57187,S92000003,P,4,2,8,5,2,1,2,1,2,5,X,X,X,4
57261,S92000003,P,4,2,5,4,2,1,1,1,2,3,X,X,X,4
57287,S92000003,P,4,1,2,1,2,1,1,1,1,3,X,X,X,4
57296,S92000003,P,4,2,8,5,2,2,2,1,2,5,X,X,X,4
57334,S92000003,P,0,2,8,5,2,1,1,1,2,5,X,X,X,4
57398,S92000003,P,1,2,6,2,2,1,2,1,2,5,X,X,X,4
57407,S92000003,P,1,2,2,1,1,1,1,1,1,4,X,X,X,4
57413,S92000003,P,1,1,2,1,2,1,2,1,1,3,X,X,X,2
57473,S92000003,C,X,2,8,2,2,2,2,1,1,5,X,X,X,X
57480,S92000003,P,1,2,8,2,2,1,2,1,2,5,X,X,X,4
57621,S92000003,P,0,2,6,2,2,1,3,1,9,5,X,X,X,4
57778,S92000003,C,X,1,8,5,2,1,5,1,2,5,X,X,X,X
57959,S92000003,P,2,1,2,1,2,1,1,1,1,3,X,X,X,4
57981,S92000003,P,4,2,2,1,2,1,1,1,2,3,X,X,X,4
58074,S92000003,P,3,1,2,1,1,2,2,4,2,4,X,X,X,3
58094,S92000003,P,1,2,2,1,1,1,1,1,1,4,X,X,X,3
58492,S92000003,P,1,2,7,2,2,1,2,1,2,5,X,X,X,4
58512,S92000003,P,5,1,3,1,1,2,1,3,6,4,X,X,X,2
58545,S92000003,P,0,1,8,1,2,1,5,1,9,5,X,X,X,4
58567,S92000003,P,0,2,8,2,2,1,5,1,2,5,X,X,X,4
58639,S92000003,P,1,2,8,2,2,1,2,1,2,5,X,X,X,4
58697,S92000003,P,1,1,2,1,2,1,1,1,1,3,X,X,X,2
58871,S92000003,P,0,2,7,5,2,1,3,1,2,5,X,X,X,4
58918,S92000003,P,4,2,2,1,1,2,1,1,1,4,X,X,X,2
59175,S92000003,P,3,1,2,1,2,1,1,1,1,3,X,X,X,4
59179,S92000003,P,2,2,2,1,1,1,3,1,1,4,X,X,X,2
59454,S92000003,P,0,2,2,1,1,1,2,1,1,4,X,X,X,2
59569,S92000003,C,X,2,8,5,2,1,3,1,2,5,X,X,X,X
59673,S92000003,C,X,1,2,1,1,1,1,1,1,4,X,X,X,X
59813,S92000003,C,X,2,8,5,2,1,4,1,2,5,X,X,X,X
59817,S92000003,P,4,2,3,1,2,1,1,1,1,3,X,X,X,4
59827,S92000003,P,0,2,8,5,2,1,2,1,2,5,X,X,X,4
59839,S92000003,P,4,2,2,1,1,1,2,1,2,4,X,X,X,4
59843,S92000003,P,4,1,2,1,2,1,1,1,1,3,X,X,X,2
59982,S92000003,P,0,1,2,1,2,1,1,1,2,3,X,X,X,4
60228,S92000003,P,0,1,3,1,1,2,1,4,2,4,X,X,X,2
60229,S92000003,P,1,2,2,1,1,2,1,4,2,4,X,X,X,1
60267,S92000003,P,4,2,2,1,2,1,1,1,1,3,X,X,X,4
60294,S92000003,C,X,2,8,2,2,1,3,1,9,5,X,X,X,X
60377,S92000003,P,3,2,2,1,2,1,1,1,2,3,X,X,X,4
60409,S92000003,P,2,1,2,1,1,2,1,1,1,4,X,X,X,1
60436,S92000003,P,0,2,8,1,2,1,2,1,9,5,X,X,X,4
60461,S92000003,P,1,2,8,2,2,1,1,1,2,5,X,X,X,4
60463,S92000003,C,X,2,7,3,2,1,3,1,9,5,X,X,X,X
60469,S92000003,P,1,1,2,1,2,2,1,1,2,3,X,X,X,1
60558,S92000003,C,X,2,7,5,2,1,3,1,2,5,X,X,X,X
60613,S92000003,P,1,1,2,1,2,1,3,1,1,3,X,X,X,4
60634,S92000003,P,4,1,2,1,2,2,3,1,1,3,X,X,X,2
60847,S92000003,P,4,1,2,1,1,1,1,1,1,4,X,X,X,2
61026,S92000003,P,4,2,2,1,1,2,1,1,2,4,X,X,X,4
61091,S92000003,P,2,2,2,1,1,1,1,1,2,4,X,X,X,4
61453,S92000003,P,0,2,8,5,2,1,1,1,2,5,X,X,X,4
61534,S92000003,P,0,2,8,5,2,1,3,1,2,5,X,X,X,4
61640,S92000003,P,1,2,2,1,1,1,2,1,2,4,X,X,X,2
61658,S92000003,P,4,2,2,1,2,1,1,1,2,3,X,X,X,4
61751,S92000003,P,1,2,6,2,2,1,1,1,2,5,X,X,X,3
61918,S92000003,P,1,1,2,1,1,1,1,1,1,4,X,X,X,3
61921,S92000003,P,1,1,2,1,1,1,1,3,6,4,X,X,X,4
61979,S92000003,P,1,2,6,2,2,2,3,1,2,5,X,X,X,4
62026,S92000003,P,1,2,8,2,2,1,1,1,9,5,X,X,X,4
62042,S92000003,C,X,2,2,1,1,2,2,3,9,4,X,X,X,X
62050,S92000003,P,4,2,2,1,2,1,1,1,1,3,X,X,X,4
62056,S92000003,P,4,1,2,1,2,1,1,1,9,3,X,X,X,4
62204,S92000003,P,1,1,6,2,2,2,2,3,1,5,X,X,X,4
62233,S92000003,P,1,2,7,2,2,1,3,1,2,5,X,X,X,4
62295,S92000003,P,0,2,8,5,2,1,2,1,2,5,X,X,X,4
62343,S92000003,P,0,2,8,5,2,1,2,1,2,5,X,X,X,4
62357,S92000003,P,4,2,2,1,2,1,1,1,1,3,X,X,X,4
62462,S92000003,P,0,2,7,5,2,1,2,1,2,5,X,X,X,4
62532,S92000003,P,2,1,2,1,2,1,1,1,1,3,X,X,X,4
62534,S92000003,P,0,1,2,1,2,1,1,1,1,3,X,X,X,4
62571,S92000003,P,0,2,8,5,2,1,2,1,2,5,X,X,X,4
62706,S92000003,P,5,1,2,1,2,2,2,3,1,3,X,X,X,4
62734,S92000003,P,1,2,7,2,2,2,2,1,1,5,X,X,X,4
62777,S92000003,P,1,1,2,1,1,2,1,3,6,4,X,X,X,4
62788,S92000003,P,4,1,2,1,1,1,1,3,7,4,X,X,X,2
62797,S92000003,P,5,2,7,2,2,1,2,1,9,5,X,X,X,4
62916,S92000003,P,2,2,3,1,2,1,2,1,1,3,X,X,X,3
62999,S92000003,P,1,1,2,1,2,1,2,1,9,3,X,X,X,3
63014,S92000003,P,4,2,3,1,2,1,1,1,2,3,X,X,X,4
63029,S92000003,P,1,2,7,2,2,1,2,1,1,5,X,X,X,2
63044,S92000003,P,2,2,2,1,1,1,1,1,1,4,X,X,X,3
63138,S92000003,P,0,1,7,5,2,1,3,1,2,5,X,X,X,4
63185,S92000003,P,1,2,4,2,2,2,3,3,6,3,X,X,X,3
63202,S92000003,P,0,2,6,3,2,1,4,1,2,5,X,X,X,4
63315,S92000003,C,X,1,7,5,2,1,2,1,1,5,X,X,X,X
63359,S92000003,P,1,1,3,1,2,1,2,1,1,3,X,X,X,4
